Project title,Project objectives / purpose,Start Date,End Date,NDP Pillar,Primary Sector,Links to other Sector,Reporting Agency,Funders,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Sum 2015-17,Links to project webpages or documents,Gender,Capacity building,Stabilization,FGS,Benadir,Galmudug,Hiiraan & Middle Shabelle,Jubaland,Puntland,South West,Somaliland,Unattributed,FGS - 2015,Benadir - 2015,Galmudug - 2015,Hiiraan & Middle Shabelle - 2015,Jubaland - 2015,Puntland - 2015,South West - 2015,Somaliland - 2015,Unattributed - 2015,FGS - 2016,Benadir - 2016,Galmudug - 2016,Hiiraan & Middle Shabelle - 2016,Jubaland - 2016,Puntland - 2016,South West - 2016,Somaliland - 2016,Unattributed - 2016,FGS - 2017,Benadir - 2017,Galmudug - 2017,Hiiraan & Middle Shabelle - 2017,Jubaland - 2017,Puntland - 2017,South West - 2017,Somaliland - 2017,Unattributed - 2017
Support to Somali presence in Italy,Running costs of Somali Embassy in Rome,Jan-14,Dec-16,2. Building effective & Efficient Institutions,CSR / Public Administration,,Italy,Italy,Somali government,Government,711111,377778,377778,175570,931126,,NA – not screened ,Not targeted,Not targeted,1,,,,,,,,,377777.7778,0,0,0,0,0,0,0,0,377778,0,0,0,0,0,0,0,0,175570,0,0,0,0,0,0,0,0
Baardheere Stabilisation project,"Immediate benefits to vulnerable populations in districts newly recovered from Al Shabbab, in line with the FGS Stabilisation Plan",Feb-16,Nov-16,2. Building effective & Efficient Institutions,Local governance,Community-driven development,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",NIS,Private Sector,1289512,0,371063,0,371063,,Significant,Significant,Principal,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,371063,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia Knowledge for Results,"Enhance the development impact of domestic policies and development partner interventions through better knowledge of socio-economic realities as well as political economy constraints; Promote basic accountability through better information on availability and use of public resources (including from development partners), and; revitalize the strategic planning process, through tailored support to regions, engagement with a broader set of stakeholders",Aug-16,Jul-19,2. Building effective & Efficient Institutions,"Planning, M&E & Statistics",Analysis & Statistics,WB,WB SPF,WB-Executed,IFI,4500000,0,320196,2100000,2420196,http://http://somaliampf.org,Not targeted,Significant,Significant,0.142857143,,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,,0,0,0,0,0,0,0,0,0,45742,0,45742,45742,45742,45742,45742,45742,0,300000,0,300000,300000,300000,300000,300000,300000,0
Revenue Management - 1,Support the interim administrations to develop the core functions of government,May-16,Sep-16,2. Building effective & Efficient Institutions,PFM & Revenue,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",BISAN,NGOs,312682,157115,306515,0,463630,,Significant,Principal,Significant,,,,,1,,,,,0,0,0,0,157115,0,0,0,0,0,0,0,0,306515,0,0,0,0,0,0,0,0,0,0,0,0,0
New Deal Facility,"Support to the Monitoring & Evaluation of the New Deal Compact, UN Multipartner Trust Fund and Integrated Strategic Framework",Jan-16,Dec-16,2. Building effective & Efficient Institutions,CSR / Public Administration,,UN RCO,UNDP,UNDP,UN,300000,0,300000,0,300000,,,Significant,,1,,,,,,,,,0,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMF PFM,The main focus of the proposed project is strengthen budget execution procedures which would be essential in improving budget credibility and enhancing fiscal discipline. ,Feb-15,Jan-18,2. Building effective & Efficient Institutions,PFM & Revenue,,IMF,"AFESD, DFID, Canada DFATD, Italy, USAID",IMF,IFI,560609,29032,281577,250000,560609,,NA – not screened ,Principal,NA – not screened ,1,,,,,,,,,29032,0,0,0,0,0,0,0,0,281577,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0
JPLG - 4 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,2. Building effective & Efficient Institutions,PFM & Revenue,Municipal finance management,UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,265169,271415,257953,794537,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,16175.30545,11933,16175,4508,14849,90688,18031,92809,0,16556,12214,16556,4614,15199,92824,18456,94995,0,15735,11608,15735,4385,14445,88220,17541,90283,0
"National Accounts, Price Statistics, Gov. Finance Statistics, Balance of Payments, Monetary Statistics",This project will assist the Somali authorities to start the compilation of macroeconomic and financial statistics in accordance with international standards.,Feb-15,Jan-18,2. Building effective & Efficient Institutions,"Planning, M&E & Statistics",,IMF,"AFESD, DFID, Canada DFATD, Italy, USAID",IMF,IFI,815025,83320,219048,512657,815025,,NA – not screened ,Principal,NA – not screened ,1,,,,,,,,,83320,0,0,0,0,0,0,0,0,219048,0,0,0,0,0,0,0,0,512657,0,0,0,0,0,0,0,0
Support to the Financial Governance Committee Somalia,"The purpose of this contract is to provide technical advice to the Financial Governance Committe and facilitate policy dialogue to strengthen transparency and accountability in the areas of decentralized PFM system management/fiscal federalism, high value public procurement and concessions, asset recovery and other selected areas of financial governance.",Dec-15,Feb-17,2. Building effective & Efficient Institutions,PFM & Revenue,,EU,EU,ADAM SMITH INTERNATIONAL LTD,Private Sector,283333,56667,198333,28333,283333,,,Principal,,1,,,,,,,,,56666.66667,0,0,0,0,0,0,0,0,198333,0,0,0,0,0,0,0,0,28333,0,0,0,0,0,0,0,0
Public Financial Management (PFM) Reform (Phase I),Improve the realism of the budget and institutional fiscal discipline; Strengthen controls needed for fiscal discipline and promote transparency and accountability; Strengthen key integrity pillars to hold government accountable for the use of public funds; Build PFM competencies; Provide a structured approach to PFM institutional capacity strengthening.,Jan-14,Mar-16,2. Building effective & Efficient Institutions,PFM & Revenue,,WB,"WB SPF, DFID",Government counterparts,Government,4497940,2597922,190012,0,2787934,http://www.worldbank.org/projects/P146006?lang=en,Not targeted,Principal,Not targeted,1,,,,,0,,,,2597921.74,0,0,0,0,0,0,0,0,190012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PFM training (Kampala),Support the interim administrations to develop the core functions of government,Nov-15,Sep-16,2. Building effective & Efficient Institutions,PFM & Revenue,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Various,Unclear / TBD,177081,177081,177081,0,354162,,Significant,Principal,Significant,,,,,,1,,,,0,0,0,0,0,177081,0,0,0,0,0,0,0,0,177081,0,0,0,0,0,0,0,0,0,0,0,0
Revenue Management - 2,Support the interim administrations to develop the core functions of government,Oct-15,Jan-16,2. Building effective & Efficient Institutions,PFM & Revenue,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",BISAN,NGOs,162258,162258,162258,0,324516,,Significant,Principal,Significant,,,0.5,0.5,,,,,,0,0,81129,81129,0,0,0,0,0,0,0,81129,81129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Capacity Self Assessment,Take stock of Somalia’s existing capacities and specific capacity needs and priorities,May-15,Dec-16,2. Building effective & Efficient Institutions,CSR / Public Administration,,UNDP,"GEF, UNDP",UNDP,UN,200000,51100,148000,51100,250200,http://www.so.undp.org/,Significant,Significant,Significant,,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,,0,7300,7300,7300,7300,7300,7300,7300,0,0,21143,21143,21143,21143,21143,21143,21143,0,0,7300,7300,7300,7300,7300,7300,7300,0
Brain gain FSAN,,Jan-15,Dec-16,2. Building effective & Efficient Institutions,CSR / Public Administration,Diaspora engagement / Capacity development,Netherlands,Netherlands,FSAN,NGOs,277778,138889,138889,0,277778,,Significant,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,138889,0,0,0,0,0,0,0,0,138889,0,0,0,0,0,0,0,0,0
Missing title,Meet public expectations through strengthened community engagement in basic service delivery,Oct-15,Sep-16,2. Building effective & Efficient Institutions,Local governance,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Solargen Yaqshid,NGOs,123020,118920,123020,0,241940,,Significant,Principal,Principal,,,1,,,,,,,0,0,118920,0,0,0,0,0,0,0,0,123020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA for Debt Management and Arrears Clearance (Phase II),"The objectives of the Project include: (i) to assist in the setting up of the (Somalia Arrears Debt Management Unit (SADMU); (ii) provide SADMU the capacity required to formulate and implement the Somalia Arrears Clearance and Debt Management Strategy (SACMDS). The specific objectives of the Project include assisting the Federal Government of Somalia (FGS) in the recruitment of public debt management experts to inter alia (a) undertake the reconciliation and validation of the FGS external debt; (b) assist the FGS in the arrears clearance and debt relief process; (c) provide capacity and on-job training on arrears clearance, debt relief and debt management.",Feb-15,Jul-16,2. Building effective & Efficient Institutions,PFM & Revenue,,AfDB,AfDB,"AfDB, Ministry of Finance",Government & IFI,214286,96429,117857,0,214286,http://http://www.afdb.org,Not targeted,Significant,Significant,1,,,,,0,,0,,96428.75,0,0,0,0,0,0,0,0,117857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMF Tax Policy,The TA program will support tax reforms and build capacity to achieve an efficient tax system that raises sufficient revenues for sustainable budget expenditures,Feb-15,Jan-18,2. Building effective & Efficient Institutions,PFM & Revenue,,IMF,"AFESD, DFID, Canada DFATD, Italy, USAID",IMF,IFI,294779,55255,89524,150000,294779,,NA – not screened ,Principal,NA – not screened ,1,,,,,,,,,55255,0,0,0,0,0,0,0,0,89524,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0
"Boys and girls including Youth are protected from abuse, violence, exploitation and neglect through community based mechanisms and processes","The prorgam seeks to use participatory approach in the prevention and response of child rights violations at the community through establishment and strengthening of child protection systems and mechanisms at community level through empowering and engaging the existing community structures such as CPC, CPAs, CRCs, community safety nets, village communities and ensuring linkages with the local authority particularly district council members, and regional representatives of protection line ministries",Jan-13,Dec-16,5. Social & Human Capital,Other social services,Education,UNICEF,"UNICEF, CIDA Japan Swiss Nat Com-UNICEF UNICEF",CEDA,NGOs,2276400,710000,1770000,1200000,3680000,,Principal,Significant,Significant,,,,,,0.33,0.33,0.34,,0,0,0,0,0,234300,234300,241400,0,0,0,0,0,0,584100,584100,601800,0,0,0,0,0,0,396000,396000,408000,0
Social acceptance of practices harmful to children in targeted locations reduced and improved access to services for FGM,"Program seeks to facilitate dialogue sessions on abandonment of  FGM/C and child marriages  among community members and stakeholders, accelerate FGM/C  and child marriages abandonment through development and implementation of policies and legislation,  strengthen provision of services to FGM/C and child marriages survivors and work with Religious leaders to demystify that FGM/C is not a religious obligation",Jan-13,Dec-16,5. Social & Human Capital,Other social services,Health,UNICEF,"UNICEF, Swiss, Sweden, DFID, Finland, USAID, Australia, UNICEF_UNFPA Japan Swiss Nat Comm-UNICEF Core resources ","TASS, SAF, CCBRS, GOVERNMENT LINE MINISTRIES",Government & NGOs,5500000,1175000,1200000,1000000,3375000,,Principal,Significant,Not targeted,,0.15,,,0.1,0.2,0.2,0.35,,0,176250,0,0,117500,235000,235000,411250,0,0,180000,0,0,120000,240000,240000,420000,0,0,150000,0,0,100000,200000,200000,350000,0
Strengthening Child Protection Systems,"Strengthening Child Protection Systems for a Safe and Protective Environment for Children in Somaliland; National and community based systems, structures and mechanisms strengthened to prevent and respond to abuse, exploitation, neglect and violence against children in Somaliland",Jan-16,,5. Social & Human Capital,Other Social Services,,Finland,Finland,,NGOs,0,0,344667,0,344667,,Principal,Significant,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344667,0,0,0,0,0,0,0,0,0,0
Child Rights in Somaliland,Realisation of Child Rights in Somaliland Improved Policy and practice for children in Somaliland,Jan-16,,5. Social & Human Capital,Other Social Services,,Finland,Finland,,NGOs,0,0,336584,0,336584,,Principal,Significant,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336584,0,0,0,0,0,0,0,0,0,0
Beds-duvets support,420 beds and 3420 blanket was donated to 52 orphanages,Jan-15,Sep-15,5. Social & Human Capital,Other social services,,Turkey (2015 data),Turkey,KIZILAY,NGOs,220000,220000,0,0,220000,,,,,,1,,,,,,,,0,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Construction of 2 orphanage,2 orphanage with 20 beds was constructed and fully furbished in Hargeisa,Jan-15,Sep-15,5. Social & Human Capital,Other social services,,Turkey (2015 data),Turkey,TİKA,NGOs,120000,120000,0,0,120000,,,,,,,,,,,,1,,0,0,0,0,0,0,0,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orphanage support,all cost of a 52 bed orphanage,Jan-15,Dec-15,5. Social & Human Capital,Other social services,,Turkey (2015 data),Turkey,YARDIMELİ NGO,NGOs,50000,50000,0,0,50000,,,,,,1,,,,,,,,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refurbishment of orphanages,,Jun-15,Nov-15,5. Social & Human Capital,Other social services,,Turkey (2015 data),Turkey,TİKA,Bilateral Agency,60000,60000,0,0,60000,,,,,,1,,,,,,,,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Support to Somali Woman,A Somali NGO was supported to train 100 Somali orphanage women,Jan-15,Sep-15,5. Social & Human Capital,Other social services,,Turkey (2015 data),Turkey,TİKA,NGOs,65000,65000,0,0,65000,,,,,,1,,,,,,,,0,65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transfer of DRC equipment to Mogadish,Services,Sep-14,Sep-16,7. Other,Other,Unclear - needs more detail,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Muthiga Travels,Private Sector,2360,0,2360,0,2360,,Significant,Principal,Significant,,1,,,,,,,,0,0,0,0,0,0,0,0,0,0,2360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Somali pavilion at Expo 2015, Milan","Somali pavilion at Expo 2015, Milan",Apr-15,Oct-15,7. Other,Other,Unclear - needs more detail,Italy,Italy,Somali government,Government,944444,944444,0,0,944444,,NA – not screened ,Not targeted,Not targeted,1,,,,,,,,,944444.4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS II / CSO support - 1,,Jan-11,Dec-15,7. Other,Other,Unclear - needs more detail,Netherlands,Netherlands,Hivos Alliance,NGOs,1111111,222222,0,0,222222,,Significant,Significant,Significant,,0.068,0.06,0.068,0.068,0.334,0.068,0.334,,0,15111,13333,15111,15111,74222,15111,74222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS II / CSO support - 2,,Jan-11,Dec-15,7. Other,Other,Unclear - needs more detail,Netherlands,Netherlands,Impact Alliance,NGOs,12411111,3102778,0,0,3102778,,Significant,Significant,Significant,,0.068,0.06,0.068,0.068,0.334,0.068,0.334,,0,210989,186167,210989,210989,1036328,210989,1036328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stabilisation measures,,,,7. Other,Other,Unclear - needs more detail,Norway,Norway,NIS,NGOs,0,1234568,2839506,0,4074074,,NA – not screened ,NA – not screened ,NA – not screened ,,,0.2,0.2,0.2,0.2,0.2,,,0,0,246914,246914,246914,246914,246914,0,0,0,0,567901,567901,567901,567901,567901,0,0,0,0,0,0,0,0,0,0,0
Celebrating Somali Culture,Address the economic and social drivers of conflict and violent extremism,Nov-14,Apr-16,7. Other,Other,Culture,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",New Horizon,NGOs,500097,358845,500097,0,858942,,Principal,Significant,Significant,,0.2,,0.2,0.2,0.2,,0.2,,0,71769,0,71769,71769,71769,0,71769,0,0,100019,0,100019,100019,100019,0,100019,0,0,0,0,0,0,0,0,0,0
